,TID,lon,lat,ISOTIME,MSLP,WS,Short_Label,Full_Name,Tropical_System,Transition_Zone,Track_Info,LPSAREA
0,0,44.085938,-39.890625,2020-02-01 06:00:00,100948.1,14.42023,DSE,Extratropical Disturbance,0.0,0.0,Track,4080310
1,0,47.601562,-39.890625,2020-02-01 12:00:00,101002.8,12.99928,DSE,Extratropical Disturbance,0.0,0.0,Track,2873169
2,0,52.242188,-39.890625,2020-02-01 18:00:00,101184.6,14.30572,DSE,Extratropical Disturbance,0.0,0.0,Track,2215337
3,0,56.039062,-39.890625,2020-02-02 00:00:00,101295.8,14.36916,DSE,Extratropical Disturbance,0.0,0.0,Track,1362169
4,0,59.695313,-39.890625,2020-02-02 06:00:00,101562.4,13.27777,DSE,Extratropical Disturbance,0.0,0.0,Track,1109708
5,0,61.945313,-39.609375,2020-02-02 12:00:00,101614.5,12.14497,DSE,Extratropical Disturbance,0.0,0.0,Track,0
6,1,144.914062,-39.890625,2020-02-01 06:00:00,100640.0,14.47742,THL,Thermal Low,1.0,1.0,Track,608550
7,1,142.101562,-33.703125,2020-02-01 12:00:00,100845.7,9.128096,THL,Thermal Low,1.0,1.0,Track,0
8,1,145.335938,-34.265625,2020-02-01 18:00:00,100788.8,5.717188,THL,Thermal Low,1.0,1.0,Track,0
9,1,146.179688,-35.015625,2020-02-02 00:00:00,100779.0,6.442522,THL,Thermal Low,1.0,1.0,Track,164294
10,1,147.867188,-35.671875,2020-02-02 06:00:00,100428.0,10.43806,THL,Thermal Low,1.0,1.0,Track,501158
11,1,146.039062,-35.015625,2020-02-02 12:00:00,100590.9,12.62909,THL,Thermal Low,1.0,1.0,Track,0
12,1,150.679688,-39.609375,2020-02-02 18:00:00,100323.2,14.26749,THL,Thermal Low,1.0,1.0,Track,2283320
13,1,152.507812,-39.890625,2020-02-03 00:00:00,100429.5,14.66987,THL,Thermal Low,0.0,0.0,Track,3340791
14,1,155.320312,-39.609375,2020-02-03 06:00:00,100388.8,13.10997,DSE,Extratropical Disturbance,0.0,0.0,Track,2595755
15,1,157.851562,-39.703125,2020-02-03 12:00:00,100770.3,14.73818,DSE,Extratropical Disturbance,0.0,0.0,Track,2560448
16,1,161.367188,-39.703125,2020-02-03 18:00:00,101068.3,15.28872,DSE,Extratropical Disturbance,0.0,0.0,Track,2279089
17,1,165.585938,-39.609375,2020-02-04 00:00:00,101554.5,14.11036,DSE,Extratropical Disturbance,0.0,0.0,Track,1659175
18,2,260.367188,-39.890625,2020-02-01 06:00:00,100796.4,11.77944,EX,Extratropical Cyclone,0.0,0.0,Track,2723962
19,2,261.632813,-39.890625,2020-02-01 12:00:00,100351.2,13.09605,DSE,Extratropical Disturbance,0.0,0.0,Track,1934477
20,2,263.882812,-39.890625,2020-02-01 18:00:00,100162.7,13.348,DSE,Extratropical Disturbance,0.0,0.0,Track,6670985
21,2,267.820312,-39.890625,2020-02-02 00:00:00,99887.7,18.00324,DSE,Extratropical Disturbance,0.0,0.0,Track,7327110
22,2,272.320312,-39.890625,2020-02-02 06:00:00,100007.5,17.65116,DSE,Extratropical Disturbance,0.0,0.0,Track,3776245
23,2,267.117188,-39.890625,2020-02-02 12:00:00,100349.9,9.951164,DSE,Extratropical Disturbance,0.0,0.0,Track,443719
24,2,267.117188,-39.890625,2020-02-02 18:00:00,100570.1,9.033714,DSE,Extratropical Disturbance,0.0,0.0,Track,23019
25,2,268.664062,-39.890625,2020-02-03 00:00:00,100461.3,15.23468,DSE,Extratropical Disturbance,0.0,0.0,Track,843825
26,2,275.273438,-39.890625,2020-02-03 06:00:00,100134.1,17.6125,DSE,Extratropical Disturbance,0.0,0.0,Track,1679204
27,2,278.085938,-39.890625,2020-02-03 12:00:00,100480.6,14.78941,DSE,Extratropical Disturbance,0.0,0.0,Track,1917188
