,track_id, year, month, day, hour, i, j, lon, lat, slp, zs, wind10
146447,5952,2020,1,1,0,764,442,191.0,-20.5,99108.06,-77.67049,18.04455
146448,5952,2020,1,1,6,772,445,193.0,-21.25,98873.19,-98.0524,17.65506
146449,5952,2020,1,1,12,781,446,195.25,-21.5,98961.88,-89.53935,17.39558
146450,5952,2020,1,1,18,790,446,197.5,-21.5,99127.62,-75.88129,17.90696
146451,5952,2020,1,2,0,801,452,200.25,-23.0,99502.88,-43.10819,18.33383
146452,5952,2020,1,2,6,812,461,203.0,-25.25,99580.44,-36.42864,18.1836
146453,5952,2020,1,2,12,824,472,206.0,-28.0,99388.69,-52.79746,19.57582
146472,5953,2020,1,1,0,238,460,59.5,-25.0,98412.06,-138.9855,22.75568
146473,5953,2020,1,1,6,241,467,60.25,-26.75,98382.44,-140.7002,23.124
146474,5953,2020,1,1,12,245,476,61.25,-29.0,97996.88,-173.9175,23.38469
146475,5953,2020,1,1,18,247,483,61.75,-30.75,97863.38,-185.0556,22.6965
146476,5953,2020,1,2,0,251,491,62.75,-32.75,97481.62,-218.3885,23.75656
146477,5953,2020,1,2,6,256,498,64.0,-34.5,97416.94,-223.4699,23.70999
146478,5953,2020,1,2,12,263,504,65.75,-36.0,97171.94,-245.8658,24.48299
146479,5953,2020,1,2,18,272,510,68.0,-37.5,97511.69,-213.4537,24.51952
146480,5953,2020,1,3,0,283,516,70.75,-39.0,97909.94,-180.2326,22.74084
146481,5953,2020,1,3,6,297,521,74.25,-40.25,98259.31,-149.511,21.74826
146482,5953,2020,1,3,12,312,523,78.0,-40.75,98354.38,-141.058,20.79378
146483,5953,2020,1,3,18,330,525,82.5,-41.25,98568.31,-121.9134,20.27034
146484,5954,2020,1,4,18,485,423,121.25,-15.75,99951.31,-4.29787,12.72448
146485,5954,2020,1,5,0,484,421,121.0,-15.25,100100.8,8.915164,14.07263
146486,5954,2020,1,5,6,486,422,121.5,-15.5,99743.94,-22.23765,17.60749
146487,5954,2020,1,5,12,485,419,121.25,-14.75,99797.25,-17.43789,16.21073
146488,5954,2020,1,5,18,487,421,121.75,-15.25,99424.94,-49.83365,17.25855
146489,5954,2020,1,6,0,490,423,122.5,-15.75,99528.0,-40.93081,17.98278
146490,5954,2020,1,6,6,489,427,122.25,-16.75,99344.19,-57.35371,15.9648
146491,5954,2020,1,6,12,488,428,122.0,-17.0,99201.0,-69.04777,18.60405
146492,5954,2020,1,6,18,488,432,122.0,-18.0,98964.25,-90.57243,19.76783
146493,5954,2020,1,7,0,485,434,121.25,-18.5,99008.44,-86.8163,18.24106
146494,5954,2020,1,7,6,484,435,121.0,-18.75,98889.94,-97.20032,17.01879
146495,5954,2020,1,7,12,483,437,120.75,-19.25,99109.56,-76.98299,18.17479
146496,5954,2020,1,7,18,481,438,120.25,-19.5,98913.62,-95.72343,15.53223
146497,5954,2020,1,8,0,480,439,120.0,-19.75,99128.0,-76.672,15.008
146498,5954,2020,1,8,6,479,443,119.75,-20.75,98999.44,-87.75603,14.46926
146499,5954,2020,1,8,12,478,445,119.5,-21.25,99170.88,-72.46153,11.34007
146500,5954,2020,1,8,18,479,449,119.75,-22.25,99200.5,-69.88484,12.08062
146501,5954,2020,1,9,0,479,452,119.75,-23.0,99449.19,-48.51069,12.66689
146502,5954,2020,1,9,6,481,455,120.25,-23.75,99445.12,-47.56907,11.89802
146503,5954,2020,1,9,12,483,457,120.75,-24.25,99793.12,-19.06751,10.78281
146504,5954,2020,1,9,18,486,459,121.5,-24.75,99792.56,-17.99973,13.15633
146505,5955,2020,1,10,18,518,413,129.5,-13.25,99887.12,-11.62517,14.3466
146506,5955,2020,1,11,0,514,413,128.5,-13.25,100007.1,0.2082537,16.54454
146507,5955,2020,1,11,6,509,413,127.25,-13.25,99545.25,-43.13798,15.32907
146508,5955,2020,1,11,12,506,414,126.5,-13.5,99949.06,-5.596967,13.45814
146509,5955,2020,1,11,18,499,416,124.75,-14.0,99519.25,-43.36328,16.20818
146510,5955,2020,1,12,0,494,416,123.5,-14.0,99448.38,-49.96217,19.66708
146511,5955,2020,1,12,6,490,419,122.5,-14.75,99001.0,-88.47357,19.33403
146512,5955,2020,1,12,12,484,422,121.0,-15.5,98977.5,-92.08596,21.95623
146513,5955,2020,1,12,18,475,423,118.75,-15.75,98340.12,-150.8171,21.90415
146514,5955,2020,1,13,0,470,425,117.5,-16.25,98365.12,-146.306,24.41665
146515,5955,2020,1,13,6,463,428,115.75,-17.0,97932.44,-181.2018,23.36202
146516,5955,2020,1,13,12,456,431,114.0,-17.75,98197.12,-166.6643,24.60947
146517,5955,2020,1,13,18,449,432,112.25,-18.0,97805.75,-197.3711,25.08132
146518,5955,2020,1,14,0,444,432,111.0,-18.0,98283.19,-156.2707,23.13399
146519,5955,2020,1,14,6,439,433,109.75,-18.25,98527.19,-131.5745,21.37083
146520,5955,2020,1,14,12,436,434,109.0,-18.5,98745.5,-111.5965,21.07047
146521,5955,2020,1,14,18,433,435,108.25,-18.75,98889.25,-96.98888,19.90609
146522,5955,2020,1,15,0,429,437,107.25,-19.25,99264.5,-64.29783,19.10078
146523,5955,2020,1,15,6,425,441,106.25,-20.25,99402.31,-53.07896,17.48057
146524,5955,2020,1,15,12,423,443,105.75,-20.75,99552.38,-38.93921,15.56747
146525,5955,2020,1,15,18,420,446,105.0,-21.5,99773.12,-19.73799,15.09563
146526,5955,2020,1,16,0,417,448,104.25,-22.0,100032.5,2.572411,16.21817
146527,5955,2020,1,16,6,415,451,103.75,-22.75,100088.9,7.717705,13.65185
146528,5955,2020,1,16,12,414,453,103.5,-23.25,100204.1,17.92243,15.20934
146529,5955,2020,1,16,18,412,454,103.0,-23.5,100260.4,22.59184,15.33544
146530,5955,2020,1,17,0,411,455,102.75,-23.75,100407.9,35.44023,16.19495
146531,5955,2020,1,17,6,410,456,102.5,-24.0,100424.5,36.94741,17.37103
146532,5956,2020,1,13,18,673,415,168.25,-13.75,99989.0,-1.907333,11.42046
146533,5956,2020,1,14,18,675,410,168.75,-12.5,99866.0,-11.51488,9.538054
146534,5956,2020,1,15,0,681,410,170.25,-12.5,99947.5,-4.499156,9.912587
146535,5956,2020,1,15,6,680,409,170.0,-12.25,99701.31,-25.7599,11.28124
146536,5956,2020,1,15,12,684,405,171.0,-11.25,99679.38,-27.81536,10.69949
146537,5956,2020,1,16,0,694,403,173.5,-10.75,99378.75,-54.01525,18.18972
146538,5956,2020,1,16,6,699,407,174.75,-11.75,99075.62,-80.39391,18.18769
146539,5956,2020,1,16,12,706,410,176.5,-12.5,99004.62,-86.33342,17.889
146540,5956,2020,1,16,18,710,413,177.5,-13.25,98654.19,-117.4183,20.06505
146541,5956,2020,1,17,0,714,419,178.5,-14.75,98419.44,-137.9543,19.97066
146542,5956,2020,1,17,6,719,421,179.75,-15.25,98240.25,-154.0949,21.23734
146543,5956,2020,1,17,12,724,428,181.0,-17.0,98193.12,-157.8574,22.2941
146544,5956,2020,1,17,18,730,431,182.5,-17.75,98050.25,-170.9763,23.38193
146545,5956,2020,1,18,0,735,437,183.75,-19.25,97878.62,-185.6249,23.27913
146546,5956,2020,1,18,6,741,441,185.25,-20.25,97804.38,-193.2435,22.57427
146547,5956,2020,1,18,12,748,445,187.0,-21.25,97791.25,-193.5541,23.60115
146548,5956,2020,1,18,18,755,453,188.75,-23.25,97669.94,-204.4526,24.23216
146549,5956,2020,1,19,0,762,462,190.5,-25.5,98013.06,-173.4598,22.46463
146550,5956,2020,1,19,6,767,471,191.75,-27.75,97832.25,-189.2262,21.50719
146551,5956,2020,1,19,12,777,479,194.25,-29.75,97871.62,-185.3911,24.29279
146552,5956,2020,1,19,18,787,492,196.75,-33.0,97806.56,-190.7424,22.5449
146553,5956,2020,1,20,0,796,504,199.0,-36.0,97518.25,-215.8623,20.97397
146554,5956,2020,1,20,6,806,514,201.5,-38.5,97605.25,-207.9911,20.29147
146555,5956,2020,1,20,12,816,522,204.0,-40.5,97676.19,-200.8277,20.26221
146556,5956,2020,1,21,0,799,507,199.75,-36.75,97737.44,-196.2414,20.61146
