track_id, year, month, day, hour, i, j, lon, lat, psl, wind, zg200M, zg200m, zg500M, zg500m, ts, tp
0, 2020, 1, 1, 0, 3408, 1384, 59.625208, -25.101685, 9.690846e+04, 3.214486e+01, 5.724653e+04, 5.503131e+04, 1.074293e+05, 1.062392e+05, 3.004840e+02, nan
0, 2020, 1, 1, 6, 3416, 1343, 60.187709, -27.023569, 9.716558e+04, 2.959983e+01, 5.730062e+04, 5.499404e+04, 1.074247e+05, 1.059908e+05, 2.992280e+02, 4.817635e+01
0, 2020, 1, 1, 12, 3426, 1302, 60.890834, -28.945453, 9.688002e+04, 2.772260e+01, 5.703125e+04, 5.458952e+04, 1.071956e+05, 1.054407e+05, 2.983260e+02, 5.441951e+01
0, 2020, 1, 1, 18, 3436, 1270, 61.593960, -30.445461, 9.697382e+04, 2.804582e+01, 5.715253e+04, 5.455097e+04, 1.071789e+05, 1.051541e+05, 2.967017e+02, 5.076979e+01
0, 2020, 1, 2, 0, 3443, 1229, 62.086148, -32.367345, 9.679949e+04, 2.591446e+01, 5.680932e+04, 5.432587e+04, 1.066715e+05, 1.045515e+05, 2.947620e+02, 4.040264e+01
0, 2020, 1, 2, 6, 3455, 1189, 62.929898, -34.242354, 9.686626e+04, 2.714322e+01, 5.677425e+04, 5.417192e+04, 1.065632e+05, 1.043858e+05, 2.939433e+02, 3.507380e+01
0, 2020, 1, 2, 12, 3480, 1161, 64.687712, -35.554860, 9.653792e+04, 2.835957e+01, 5.663685e+04, 5.371488e+04, 1.062442e+05, 1.042118e+05, 2.919847e+02, 2.168423e+01
0, 2020, 1, 2, 18, 3514, 1130, 67.078340, -37.007992, 9.691941e+04, 2.417165e+01, 5.686846e+04, 5.381422e+04, 1.063174e+05, 1.038491e+05, 2.915334e+02, 1.256032e+01
0, 2020, 1, 3, 0, 3549, 1090, 69.539279, -38.883002, 9.708016e+04, 2.262687e+01, 5.653124e+04, 5.364527e+04, 1.057628e+05, 1.034366e+05, 2.908240e+02, 1.484673e+01
0, 2020, 1, 3, 6, 3587, 1067, 72.211156, -39.961132, 9.733055e+04, 2.229651e+01, 5.650979e+04, 5.366008e+04, 1.056199e+05, 1.031182e+05, 2.899803e+02, 1.094204e+01
0, 2020, 1, 3, 12, 3634, 1051, 75.515847, -40.711135, 9.744249e+04, 2.138614e+01, 5.641519e+04, 5.355787e+04, 1.055490e+05, 1.028353e+05, 2.890784e+02, 1.108885e+01
0, 2020, 1, 3, 18, 3687, 1041, 79.242413, -41.179888, 9.777827e+04, 2.144585e+01, 5.643488e+04, 5.359523e+04, 1.055710e+05, 1.024507e+05, 2.881247e+02, 1.106355e+01
